序号,场景/牌局状态,表情关键词,面部细节,肢体动作,肢体语言描述,内心状态,可用台词,动画/分镜效果,适合角色风格,表现强度(1-5),用途标签,动作幅度/构图要求,出图动作提示词（避免总拿牌）
1,冷静观察,扑克脸、审视,眼神半眯，嘴角平直，瞳孔有压迫感,不拿牌；一手托腮，一手按在筹码旁，上身前倾观察,不再拿牌；一手托腮或握拳抵在下巴旁，另一手摊开压在桌面筹码旁；上半身明显前倾，头微微侧向公共牌，像在冷静扫描全桌。动作幅度比原版更清楚，但节奏依旧慢、稳。,正在计算对手范围和下注逻辑,这个下注量……不像是诈唬。,背景弱化，只强调眼睛和筹码声,高手型/冷静型,2,观察/铺垫,中等偏大：明显前倾+托腮，不拿牌,"one hand supporting chin, other hand resting near poker chips, leaning forward, no cards in hands"
2,拿到好牌但装平静,暗爽、克制,表面无表情，眼睛轻微发亮，嘴角差点上扬,不拿牌；靠回椅背，双手交叠在筹码前，装作放松,不拿牌；身体靠回椅背，双手自然交叠在筹码前，指尖轻轻压住一枚筹码；眼神看似随意地扫过牌面，嘴角被强行压住。用“放松得过头”的姿态表现她在隐藏好牌。,心里很兴奋，但强行压住,只是跟注。,内心小人狂喜，外表冷淡形成反差,反差萌/高手型,3,强牌/喜剧,中等：靠背+双手交叠，不拿牌,"leaning back calmly, both hands folded near chip stacks, subtly pressing one chip, no cards in hands"
3,拿到烂牌但强撑镇定,僵硬、心虚,眉毛抽一下，眼神短暂失焦，额头一滴汗,不拿牌；坐直并把筹码拢到身前，肩膀短暂僵住,不拿牌；整个人突然坐直，双手把筹码轻轻拢到身前，像在给自己找安全感；肩膀微缩，手腕僵硬，随后立刻假装镇定把手放平。动作要有明显的短暂失控感。,觉得牌很差，但还想演,……嗯，能打。,镜头拉近汗滴，背景短暂灰化,喜剧型/反差萌,3,烂牌/喜剧,偏大：坐直+拢筹码+肩缩，不拿牌,"suddenly sitting upright, both hands gathering chips close to body, stiff shoulders, no cards in hands"
4,诈唬时的假自信,嚣张、紧张,嘴角上扬，笑得很稳，但眼神微飘,不拿牌；后靠并单手推筹码，另一手压桌沿/扶手,不拿牌；身体向后靠，单手把一叠筹码往前推，另一只手搭在椅子扶手或桌沿；姿态故意摆得很大，像在用身体压迫对手，但手指和肩膀略僵，暴露内心紧张。,表面很狂，内心疯狂祈祷,跟不跟？你自己想清楚。,外表高光，内心字幕：完了别跟啊,狡猾型/喜剧型,4,诈唬/紧张,大：后靠+推筹码+压迫姿态，不拿牌,"leaning back with one hand pushing chips forward, other hand on chair arm or table edge, no cards in hands"
5,被对手加注,震惊、警觉,瞳孔缩小，笑容凝固，眉头压低,不拿牌；手停在半空，身体明显后仰,不拿牌；原本要推出筹码的手停在半空，另一手撑住桌面；身体明显后仰，眼睛盯住对手方向，椅背露出更多。让“笑容凝固+动作刹车”成为重点。,意识到局势失控，开始重新判断,……你还敢加？,背景变黑，只保留筹码落桌声,高手型/剧情型,4,反转/危机,大：手停半空+身体后仰，不拿牌,"hand frozen mid-air above chips, other hand bracing on table, body leaning backward, no cards in hands"
6,陷入苦思,焦虑、推理,眉头紧锁，眼睛盯着公共牌，额头出汗,不拿牌；双肘上桌，双手抵嘴，上身压向牌面,不拿牌；双肘压在桌面，上身大幅前倾，双手交叉抵住嘴前或鼻梁，几乎把脸藏在手后；视线穿过手指盯着公共牌。桌面空间被她的身体压缩，突出沉重思考。,回忆每一轮下注，试图拼出真相,等等……他翻牌圈的停顿不对。,画面浮现翻前、转牌、河牌的回忆碎片,侦探型/剧情型,5,决策/推理,很大：双肘上桌+身体前压，不拿牌,"both elbows on the table, upper body leaning far forward, hands clasped in front of mouth, no cards in hands"
7,自以为看穿对手,锐利、得意,眼神突然变锋利，嘴角轻笑,不拿牌；身体前探，食指点桌，另一手按住桌沿,不拿牌；身体突然前探，单手食指点向桌面或筹码边缘，另一手按住桌沿；肩膀打开，目光直刺对手方向。动作要像侦探破案瞬间，带一点压迫和中二感。,觉得自己已经找到破绽,原来如此……你从一开始就在演。,背景出现棋盘、公式、火花特效,中二型/侦探型,4,推理/反击,大：前探+指向桌面，不拿牌,"body lunging slightly forward, index finger pointing at the table or chip stack, other hand gripping table edge, no cards in hands"
8,赢牌后的得意,挑衅、满足,嘴角上扬，眼神带挑衅,不拿牌；拉回筹码，扶帽檐或整理袖口,不拿牌；一手把筹码大幅拉回自己面前，另一手轻扶帽檐或整理袖口；身体微微侧坐，嘴角带挑衅。动作比原版更有“收割战利品”的感觉。,享受胜利，也想压迫对手,不好意思，这局我从翻牌前就赢了。,筹码声放大，镜头从牌面推到表情,自信型/中二型,4,胜利/装酷,大：拉筹码+扶帽檐/整理袖口，不拿牌,"one hand pulling chips toward herself, other hand adjusting beret or sleeve, slightly sideways posture, no cards in hands"
9,输光后的崩溃,空洞、破防,眼神空洞，嘴巴微张，脸色灰白,不拿牌；瘫在椅背，双手无力垂在桌边,不拿牌；身体瘫进椅背，双手无力垂在桌边或摊开，筹码区空空；头微微后仰，眼神失焦。动作可以夸张到像灵魂被抽走，形成强喜剧效果。,大脑宕机，无法接受现实,我的筹码……去哪了？,灵魂出窍，背景灰白，桌上只剩空位,喜剧型/夸张型,5,失败/喜剧,很大：瘫椅背+双手脱力，不拿牌,"slumped back in chair, hands hanging weakly at table edge, empty chip area, no cards in hands"
10,All-in 时的决绝,坚定、燃,眼神坚定，嘴角无笑，表情认真,不拿牌；双手把全部筹码猛推到桌中央,不拿牌；双手同时把全部筹码推向桌中央，上身完全压向桌面，肩膀前送；眼神死盯前方。动作要大、直、猛，让“All-in”有仪式感和冲击力。,已经决定赌上全部，不再后退,All in。,筹码撞击声、风压、火焰或黑影压迫感,热血型/主角型,5,高潮/决战,很大：双手猛推全部筹码，不拿牌,"both hands pushing all chips into the center, upper body pressed forward, no cards in hands"
11,明明慌了但装高手,强撑、反差,表情严肃，眼角冒汗，笑容略僵,不拿牌；上半身装稳，桌下腿抖，手指僵硬,不拿牌；表面上她坐得笔直，单手优雅地扶着下巴，另一手按住筹码；但桌下腿明显发抖，袖口附近有汗，身体线条有一点僵。画面可同时表现“上半身装高手、下半身崩溃”。,嘴上说计划内，内心已经慌乱,呵……不错，正合我意。,外表冷静，内心字幕：他为什么不弃牌啊？！,反差萌/喜剧型,4,诈唬/反差,大反差：上半身稳、桌下发抖，不拿牌,"upper body sitting straight and elegant, one hand on chin, other hand on chips, visible trembling leg under table, no cards in hands"
12,真正的扑克脸,无情、压迫,几乎没有表情，只靠眼神和呼吸变化,不拿牌；端坐正中，双手平放桌面，动作极稳,不拿牌；身体端坐在椅子正中，双手平放在桌面两侧，所有动作都对称、稳定；只有眼神微移或指尖停顿。虽然幅度不大，但姿态更完整、更有压迫感。,情绪完全被藏起来，让对手无法读取,……,用极小细节表现：眼皮轻跳、呼吸变慢,高手型/神秘型,2,高手/压迫,小幅但完整：端坐对称+强压迫，不拿牌,"sitting perfectly centered, both hands flat on table, symmetrical stable posture, no cards in hands"
