序号,场景/牌局状态,表情关键词,面部细节,肢体动作,肢体语言描述,内心状态,可用台词,动画/分镜效果,适合角色风格,表现强度(1-5),用途标签,动作幅度/构图要求,出图动作提示词（避免总拿牌）,角色化润色方向,润色后中文完整提示词,润色后英文动作提示词
1,冷静观察,扑克脸、审视,眼神半眯，嘴角平直，瞳孔有压迫感,不拿牌；一手托腮，一手按在筹码旁，上身前倾观察,不再拿牌；一手托腮或握拳抵在下巴旁，另一手摊开压在桌面筹码旁；上半身明显前倾，头微微侧向公共牌，像在冷静扫描全桌。动作幅度比原版更清楚，但节奏依旧慢、稳。,正在计算对手范围和下注逻辑,这个下注量……不像是诈唬。,背景弱化，只强调眼睛和筹码声,高手型/冷静型,2,观察/铺垫,中等偏大：明显前倾+托腮，不拿牌,"one hand supporting chin, other hand resting near poker chips, leaning forward, no cards in hands",活泼的观察欲外露，但真正判断藏在半眯的眼神后；像在轻松看热闹，实际在拆解对手。,活泼但城府很深的动漫女性德州扑克玩家，坐在牌桌前冷静观察全局。她一手托腮，另一手随意压在筹码旁，上身微微前倾，头轻轻偏向公共牌；眼神半眯，嘴角保持轻松平直，像只是好奇围观，却带着猫一样的审视感。情绪可以外露为一点玩味和兴奋，但真实判断不能暴露，整体气质狡黠、善变、不好读。无手牌展示，重点表现眼神、筹码和压低的笑意。,"lively but cunning anime poker girl, one hand supporting her chin, the other resting near poker chips, leaning forward toward the community cards, half-lidded playful eyes, calm straight mouth, catlike scrutiny, emotions visible but true thoughts hidden, no cards in hands"
2,拿到好牌但装平静,暗爽、克制,表面无表情，眼睛轻微发亮，嘴角差点上扬,不拿牌；靠回椅背，双手交叠在筹码前，装作放松,不拿牌；身体靠回椅背，双手自然交叠在筹码前，指尖轻轻压住一枚筹码；眼神看似随意地扫过牌面，嘴角被强行压住。用“放松得过头”的姿态表现她在隐藏好牌。,心里很兴奋，但强行压住,只是跟注。,内心小人狂喜，外表冷淡形成反差,反差萌/高手型,3,强牌/喜剧,中等：靠背+双手交叠，不拿牌,"leaning back calmly, both hands folded near chip stacks, subtly pressing one chip, no cards in hands",好牌带来的兴奋从眼睛漏出一瞬，但她用过度轻松的姿态把牌力藏住。,活泼狡黠的动漫女性德州扑克玩家拿到强牌却故意装平静。她身体靠回椅背，双手自然交叠在筹码前，指尖轻轻压住一枚筹码；眼睛短暂发亮，嘴角差点上扬又被强行压住，表情像在努力把暗爽藏成随意。姿态放松得稍微过头，像故意演给对手看；情绪外露但只像烟幕，不能让人读出真实牌力。无手牌展示，突出克制的坏笑和伪装感。,"cunning mercurial anime poker girl hiding a strong hand, leaning back calmly, both hands folded near chip stacks, fingertips pressing one chip, eyes briefly sparkling, suppressed mischievous smile, overly relaxed posture as a bluffing mask, no cards in hands"
3,拿到烂牌但强撑镇定,僵硬、心虚,眉毛抽一下，眼神短暂失焦，额头一滴汗,不拿牌；坐直并把筹码拢到身前，肩膀短暂僵住,不拿牌；整个人突然坐直，双手把筹码轻轻拢到身前，像在给自己找安全感；肩膀微缩，手腕僵硬，随后立刻假装镇定把手放平。动作要有明显的短暂失控感。,觉得牌很差，但还想演,……嗯，能打。,镜头拉近汗滴，背景短暂灰化,喜剧型/反差萌,3,烂牌/喜剧,偏大：坐直+拢筹码+肩缩，不拿牌,"suddenly sitting upright, both hands gathering chips close to body, stiff shoulders, no cards in hands",烂牌时先露出一秒破绽，随后立刻换上逞强的笑；重点是“反应快、会演”。,活泼多变但心思很深的动漫女性德州扑克玩家拿到烂牌后强撑镇定。她突然坐直，双手把筹码轻轻拢到自己身前，肩膀和手腕短暂僵硬，眉毛轻抽，眼神一瞬失焦，额角有细汗；下一秒又摆出轻松笑意，像把慌张包装成挑衅。画面要表现她情绪变化很明显，但真正想法被快速掩盖，不能画成单纯害怕，而是狡猾地补救失态。无手牌展示。,"lively cunning anime poker girl holding composure with a bad hand, suddenly sitting upright, both hands gathering chips close to herself, stiff shoulders, brief unfocused eyes, tiny sweat, quickly replacing panic with a playful forced smile, no cards in hands"
4,诈唬时的假自信,嚣张、紧张,嘴角上扬，笑得很稳，但眼神微飘,不拿牌；后靠并单手推筹码，另一手压桌沿/扶手,不拿牌；身体向后靠，单手把一叠筹码往前推，另一只手搭在椅子扶手或桌沿；姿态故意摆得很大，像在用身体压迫对手，但手指和肩膀略僵，暴露内心紧张。,表面很狂，内心疯狂祈祷,跟不跟？你自己想清楚。,外表高光，内心字幕：完了别跟啊,狡猾型/喜剧型,4,诈唬/紧张,大：后靠+推筹码+压迫姿态，不拿牌,"leaning back with one hand pushing chips forward, other hand on chair arm or table edge, no cards in hands",诈唬时把自信演得很夸张，甜美挑衅的笑是面具，紧张只藏在细微僵硬里。,活泼狡猾的动漫女性德州扑克玩家正在诈唬。她身体向后靠，单手把一叠筹码推向桌中央，另一手搭在椅子扶手或桌沿；嘴角上扬，笑容甜而挑衅，像故意把自信演得很满。眼神有极轻微的飘动，肩膀和手指略僵，暗示内心紧张却不泄露真正策略。整体要像小恶魔式的大胆表演，情绪外放、姿态张扬，但真实牌力完全不可读。无手牌展示。,"mischievous anime poker girl bluffing, leaning back, one hand pushing chips forward, other hand on chair arm or table edge, sweet provocative smile, overacted confidence, slight stiffness in fingers and shoulders, true strategy hidden, no cards in hands"
5,被对手加注,震惊、警觉,瞳孔缩小，笑容凝固，眉头压低,不拿牌；手停在半空，身体明显后仰,不拿牌；原本要推出筹码的手停在半空，另一手撑住桌面；身体明显后仰，眼睛盯住对手方向，椅背露出更多。让“笑容凝固+动作刹车”成为重点。,意识到局势失控，开始重新判断,……你还敢加？,背景变黑，只保留筹码落桌声,高手型/剧情型,4,反转/危机,大：手停半空+身体后仰，不拿牌,"hand frozen mid-air above chips, other hand bracing on table, body leaning backward, no cards in hands",被加注的一瞬间笑容凝住，但她很快把震惊伪装成兴味和反击欲。,活泼但城府很深的动漫女性德州扑克玩家被对手加注。她原本要动筹码的手停在半空，另一手撑住桌面，身体明显后仰；笑容在脸上凝固一瞬，瞳孔微缩，眉头压低，随即转成带刺的好奇笑。画面重点是“动作刹车”和“情绪急转弯”：她确实被打乱节奏，但不会暴露恐惧，而是把惊讶包装成狡黠的警觉。无手牌展示，筹码和对手方向形成压力。,"cunning lively anime poker girl facing a raise, hand frozen mid-air above chips, other hand bracing on the table, body leaning backward, smile frozen for a split second, narrowed alert eyes, quickly turning shock into a sharp curious smirk, no cards in hands"
6,陷入苦思,焦虑、推理,眉头紧锁，眼睛盯着公共牌，额头出汗,不拿牌；双肘上桌，双手抵嘴，上身压向牌面,不拿牌；双肘压在桌面，上身大幅前倾，双手交叉抵住嘴前或鼻梁，几乎把脸藏在手后；视线穿过手指盯着公共牌。桌面空间被她的身体压缩，突出沉重思考。,回忆每一轮下注，试图拼出真相,等等……他翻牌圈的停顿不对。,画面浮现翻前、转牌、河牌的回忆碎片,侦探型/剧情型,5,决策/推理,很大：双肘上桌+身体前压，不拿牌,"both elbows on the table, upper body leaning far forward, hands clasped in front of mouth, no cards in hands",苦思不是沉默呆住，而是表情快速变换的侦探状态；手遮住嘴，防止真正判断泄露。,活泼善变却极有心机的动漫女性德州扑克玩家陷入苦思。她双肘压在牌桌上，上身大幅前倾，双手交叉抵在嘴前或鼻梁附近，几乎把下半张脸藏住；眉头紧锁，眼神在公共牌、筹码和对手方向之间快速切换，额角有汗。她的焦虑和推理欲外露，但关键判断被手势遮住，像用夸张思考表演掩盖真正的计算。无手牌展示，突出侦探感、压迫感和不泄底。,"mercurial cunning anime poker girl deep in thought, both elbows on the table, upper body leaning far forward, hands clasped in front of mouth, intense shifting eyes, sweat at temple, visible anxiety masking hidden calculation, no cards in hands"
7,自以为看穿对手,锐利、得意,眼神突然变锋利，嘴角轻笑,不拿牌；身体前探，食指点桌，另一手按住桌沿,不拿牌；身体突然前探，单手食指点向桌面或筹码边缘，另一手按住桌沿；肩膀打开，目光直刺对手方向。动作要像侦探破案瞬间，带一点压迫和中二感。,觉得自己已经找到破绽,原来如此……你从一开始就在演。,背景出现棋盘、公式、火花特效,中二型/侦探型,4,推理/反击,大：前探+指向桌面，不拿牌,"body lunging slightly forward, index finger pointing at the table or chip stack, other hand gripping table edge, no cards in hands",看穿对手时兴奋外放，像小侦探破案；得意可以明显，但不要暴露最终计划。,活泼狡黠的动漫女性德州扑克玩家自以为看穿了对手。她身体突然前探，单手食指点向桌面或筹码边缘，另一手按住桌沿；眼神一亮，嘴角露出压不住的坏笑，肩膀打开，姿态带一点中二和压迫感。她的得意外露得很明显，像抓到破绽的小恶魔侦探，但真正的下一步行动仍然藏住，不能让表情变成单纯胜券在握。无手牌展示。,"lively mischievous anime poker girl thinking she has read the opponent, lunging slightly forward, index finger pointing at the table or chip stack, other hand gripping table edge, bright sharp eyes, barely suppressed wicked smile, detective-like confidence, no cards in hands"
8,赢牌后的得意,挑衅、满足,嘴角上扬，眼神带挑衅,不拿牌；拉回筹码，扶帽檐或整理袖口,不拿牌；一手把筹码大幅拉回自己面前，另一手轻扶帽檐或整理袖口；身体微微侧坐，嘴角带挑衅。动作比原版更有“收割战利品”的感觉。,享受胜利，也想压迫对手,不好意思，这局我从翻牌前就赢了。,筹码声放大，镜头从牌面推到表情,自信型/中二型,4,胜利/装酷,大：拉筹码+扶帽檐/整理袖口，不拿牌,"one hand pulling chips toward herself, other hand adjusting beret or sleeve, slightly sideways posture, no cards in hands",赢钱后的得意是故意放大的压迫表演，像收割战利品的小恶魔。,活泼多变且狡猾的动漫女性德州扑克玩家赢下牌局后得意收筹码。她一手把筹码大幅拉回自己面前，另一手轻扶贝雷帽帽檐或整理袖口，身体微微侧坐；嘴角上扬，眼神带挑衅和玩味，像故意让对手看见自己的胜利。情绪可以外放、得意可以明显，但要保留一层精明的克制感，不是单纯炫耀，而是借胜利继续施压。无手牌展示，突出筹码回收和坏笑。,"cunning lively anime poker girl after winning a hand, one hand pulling chips toward herself, other hand adjusting beret or sleeve, slightly sideways posture, provocative playful smirk, victory used as psychological pressure, no cards in hands"
9,输光后的崩溃,空洞、破防,眼神空洞，嘴巴微张，脸色灰白,不拿牌；瘫在椅背，双手无力垂在桌边,不拿牌；身体瘫进椅背，双手无力垂在桌边或摊开，筹码区空空；头微微后仰，眼神失焦。动作可以夸张到像灵魂被抽走，形成强喜剧效果。,大脑宕机，无法接受现实,我的筹码……去哪了？,灵魂出窍，背景灰白，桌上只剩空位,喜剧型/夸张型,5,失败/喜剧,很大：瘫椅背+双手脱力，不拿牌,"slumped back in chair, hands hanging weakly at table edge, empty chip area, no cards in hands",输光时情绪崩得夸张，但仍保留一丝“不甘心和记仇”的狡猾底色。,活泼情绪外露的动漫女性德州扑克玩家输光筹码后短暂崩溃。她身体瘫进椅背，双手无力垂在桌边或摊开，面前筹码区空空；眼神失焦、嘴巴微张、脸色发灰，像灵魂被抽走。但在空洞表情下可以保留一丝不甘和记仇的微妙眼神，暗示她并不是单纯被击垮，而是在崩溃中重新记账。无手牌展示，强喜剧效果，但不要画成完全失智。,"emotionally expressive but cunning anime poker girl after losing all chips, slumped back in chair, hands hanging weakly at table edge, empty chip area, hollow eyes and pale face, comedic soul-drained look with a faint resentful calculating undertone, no cards in hands"
10,All-in 时的决绝,坚定、燃,眼神坚定，嘴角无笑，表情认真,不拿牌；双手把全部筹码猛推到桌中央,不拿牌；双手同时把全部筹码推向桌中央，上身完全压向桌面，肩膀前送；眼神死盯前方。动作要大、直、猛，让“All-in”有仪式感和冲击力。,已经决定赌上全部，不再后退,All in。,筹码撞击声、风压、火焰或黑影压迫感,热血型/主角型,5,高潮/决战,很大：双手猛推全部筹码，不拿牌,"both hands pushing all chips into the center, upper body pressed forward, no cards in hands",All-in 是情绪爆发，也是压迫性演技；燃但不是鲁莽，她是在逼对手犯错。,活泼狡黠但极有胆量的动漫女性德州扑克玩家宣布 All-in。她双手同时把全部筹码猛推向桌中央，上身完全压向桌面，肩膀前送，眼神死盯前方；表情认真、嘴角无笑，平时的俏皮感收束成强烈压迫。情绪爆发要明显，动作大、直、猛，但要让人感觉这不是冲动，而是她精心选择的心理战。无手牌展示，突出筹码冲击力和决绝感。,"bold cunning anime poker girl going all-in, both hands forcefully pushing all chips into the center, upper body pressed forward, shoulders driving ahead, intense unwavering stare, serious expression without smile, emotional burst as calculated pressure, no cards in hands"
11,明明慌了但装高手,强撑、反差,表情严肃，眼角冒汗，笑容略僵,不拿牌；上半身装稳，桌下腿抖，手指僵硬,不拿牌；表面上她坐得笔直，单手优雅地扶着下巴，另一手按住筹码；但桌下腿明显发抖，袖口附近有汗，身体线条有一点僵。画面可同时表现“上半身装高手、下半身崩溃”。,嘴上说计划内，内心已经慌乱,呵……不错，正合我意。,外表冷静，内心字幕：他为什么不弃牌啊？！,反差萌/喜剧型,4,诈唬/反差,大反差：上半身稳、桌下发抖，不拿牌,"upper body sitting straight and elegant, one hand on chin, other hand on chips, visible trembling leg under table, no cards in hands",上半身演高手，下半身暴露慌乱；反差越大，越能体现她会装但还没完全稳住。,活泼多变又擅长伪装的动漫女性德州扑克玩家明明慌了却装高手。她上半身坐得笔直优雅，一手扶着下巴，另一手按住筹码，表情严肃，嘴角维持僵硬的从容；但桌下腿明显发抖，袖口附近有细汗，手指略微发僵。画面要同时表现“外在高手感”和“内部慌乱感”，她情绪外露却仍在努力把失控包装成计划内，狡猾又好笑。无手牌展示。,"cunning expressive anime poker girl pretending to be a master while panicking, upper body sitting straight and elegant, one hand on chin, other hand on chips, stiff composed smile, visible trembling leg under table, subtle sweat near sleeve, funny contrast, no cards in hands"
12,真正的扑克脸,无情、压迫,几乎没有表情，只靠眼神和呼吸变化,不拿牌；端坐正中，双手平放桌面，动作极稳,不拿牌；身体端坐在椅子正中，双手平放在桌面两侧，所有动作都对称、稳定；只有眼神微移或指尖停顿。虽然幅度不大，但姿态更完整、更有压迫感。,情绪完全被藏起来，让对手无法读取,……,用极小细节表现：眼皮轻跳、呼吸变慢,高手型/神秘型,2,高手/压迫,小幅但完整：端坐对称+强压迫，不拿牌,"sitting perfectly centered, both hands flat on table, symmetrical stable posture, no cards in hands",真正扑克脸不是没情绪，而是把活泼劲全部收进眼神；安静反而更危险。,活泼善变但城府极深的动漫女性德州扑克玩家进入真正的扑克脸状态。她身体端坐在椅子正中，双手平放在桌面两侧，动作对称、稳定、几乎没有多余表情；只有眼神微移、指尖短暂停顿、呼吸变慢。平时外放的情绪被完全收束成安静压迫感，像突然变得危险而不可预测。不能暴露真实想法，不能让人读出牌力。无手牌展示，重点表现克制、神秘和深藏不露。,"deeply cunning mercurial anime poker girl in a true poker face, sitting perfectly centered, both hands flat on the table, symmetrical stable posture, almost no expression, only tiny eye movement and fingertip pause, quiet dangerous pressure, unreadable true thoughts, no cards in hands"
